bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ArrayIndexOutOfBoundsException  testBoundParameters  [CONTEXT]  throws  EstimationException  {  updateJacobian();    [BUGGY]  final  int  rows  =  problem.getAllParameters().length;  [BUGGY]  final  int  cols  =  problem.getAllParameters().length;  final  int  max=  cols  *  rows;  double[][]  jTj  =  new  double[cols][cols];  for  (int  i  =  0;  i  <  cols;  ++i)  {  for  (int  j  =  i;  j  <  cols;  ++j)  {  double  sum  =  0;  for  (int  k  =  0;  k  <  max;  k  +=  cols)  {  sum  +=  jacobian[k  +  i]  *  jacobian[k  +  j];  }  jTj[i][j]  =  sum;  [CLASS]  AbstractEstimator  [METHOD]  getCovariances  [RETURN_TYPE]  double[][]  EstimationProblem  problem  [VARIABLES]  EstimatedParameter[]  parameters  InvalidMatrixException  ime  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  wm  double  chiSquare  cost  criterion  factor  residual  sum  double[][]  jTj  EstimationProblem  problem  int  cols  costEvaluations  i  index  j  jacobianEvaluations  k  max  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	165	165	1	add	final  int  rows  =  problem.getAllParameters().length;	final  int  rows  =  problem.getMeasurements().length;  	compilable	  [FE]  ArrayIndexOutOfBoundsException  testBoundParameters	18	1
32	[BUG]  [BUGGY]    NumberedMeasurement[]  rows  =  getRows();  [CE]  cannot  find  symbol  [CONTEXT]  protected  void  updateJacobian()  {  [BUGGY]    NumberedMeasurement[]  rows  =  getRows();  [BUGGY]  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	73	73	1	replace	    NumberedMeasurement[]  rows  =  getRows();		non-compiled	[CE]  cannot  find  symbol	2	None	add
33	[BUG]  [BUGGY]    Arrays.fill(parameters,  0,  parameters.length);  [CE]  no  suitable  method  found  for  fill(EstimatedParameter[],int,int)  [CONTEXT]  protected  void  updateJacobian()  {  [BUGGY]    Arrays.fill(parameters,  0,  parameters.length);  [BUGGY]  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	73	73	1	replace	    Arrays.fill(parameters,  0,  parameters.length);		non-compiled	[CE]  no  suitable  method  found  for  fill(EstimatedParameter[],int,int)	2	None	add
34	[BUG]  [BUGGY]  [FE]  ArrayIndexOutOfBoundsException  testBoundParameters  [CONTEXT]  protected  void  updateJacobian()  {  [BUGGY]    Arrays.fill(parameters,  null);  [BUGGY]  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	73	73	1	add	    Arrays.fill(parameters,  null);		compilable	  [FE]  ArrayIndexOutOfBoundsException  testBoundParameters	2	1
35	[BUG]  [BUGGY]    Arrays.fill(parameters,  null);  [FE]  ArrayIndexOutOfBoundsException  testBoundParameters  [CONTEXT]  protected  void  updateJacobian()  {  [BUGGY]    Arrays.fill(parameters,  null);  [BUGGY]  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	73	73	1	replace	    Arrays.fill(parameters,  null);		compilable	  [FE]  ArrayIndexOutOfBoundsException  testBoundParameters	2	1	add
35	[BUG]  [BUGGY]    NumberedMeasurement[]  rows  =  Arrays.get(parameters);  [CE]  cannot  find  symbol  [CONTEXT]  protected  void  updateJacobian()  {  [BUGGY]    NumberedMeasurement[]  rows  =  Arrays.get(parameters);  [BUGGY]  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	73	73	1	replace	    NumberedMeasurement[]  rows  =  Arrays.get(parameters);		non-compiled	[CE]  cannot  find  symbol	2	None	add
41	[BUG]  [BUGGY]  [FE]  ArrayStoreException  testBoundParameters  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  [BUGGY]  Arrays.fill(parameters,  0);  [BUGGY]  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	74	74	1	add	Arrays.fill(parameters,  0);	Arrays.fill(jacobian,  0);  	compilable	  [FE]  ArrayStoreException  testBoundParameters	3	1
42	[BUG]  [BUGGY]  Arrays.fill(parameters,  0);  [FE]  ArrayStoreException  testBoundParameters  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  [BUGGY]  Arrays.fill(parameters,  0);  [BUGGY]  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	74	74	1	replace	Arrays.fill(parameters,  0);	Arrays.fill(jacobian,  0);  	compilable	  [FE]  ArrayStoreException  testBoundParameters	3	1	replace
42	[BUG]  [BUGGY]  Arrays.fill(jacobian,  0,  parameters.length);  [CE]  no  suitable  method  found  for  fill(double[],int,int)  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  [BUGGY]  Arrays.fill(jacobian,  0,  parameters.length);  [BUGGY]  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	74	74	1	replace	Arrays.fill(jacobian,  0,  parameters.length);	Arrays.fill(jacobian,  0);  	non-compiled	[CE]  no  suitable  method  found  for  fill(double[],int,int)	3	None	replace
43	[BUG]  [BUGGY]  Arrays.fill(fields,  0);  [CE]  cannot  find  symbol  fields  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  [BUGGY]  Arrays.fill(fields,  0);  [BUGGY]  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	74	74	1	replace	Arrays.fill(fields,  0);	Arrays.fill(jacobian,  0);  	non-compiled	[CE]  cannot  find  symbol  fields	3	None	replace
44	[BUG]  [BUGGY]  [FE]  ArrayStoreException  testBoundParameters  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  [BUGGY]  Arrays.fill(parameters,  1);  [BUGGY]  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	74	74	1	add	Arrays.fill(parameters,  1);	Arrays.fill(jacobian,  0);  	compilable	  [FE]  ArrayStoreException  testBoundParameters	3	1
45	[BUG]  [BUGGY]  Arrays.fill(parameters,  1);  [FE]  ArrayStoreException  testBoundParameters  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  [BUGGY]  Arrays.fill(parameters,  1);  [BUGGY]  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	74	74	1	replace	Arrays.fill(parameters,  1);	Arrays.fill(jacobian,  0);  	compilable	  [FE]  ArrayStoreException  testBoundParameters	3	1	replace
45	[BUG]  [BUGGY]  [FE]  ArrayIndexOutOfBoundsException  testBoundParameters  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  [BUGGY]    [BUGGY]  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	74	74	1	add	  	Arrays.fill(jacobian,  0);  	compilable	  [FE]  ArrayIndexOutOfBoundsException  testBoundParameters	3	1
46	[BUG]  [BUGGY]    [FE]  ArrayIndexOutOfBoundsException  testBoundParameters  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  [BUGGY]    [BUGGY]  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	74	74	1	replace	  	Arrays.fill(jacobian,  0);  	compilable	  [FE]  ArrayIndexOutOfBoundsException  testBoundParameters	3	1	replace
51	[BUG]  [BUGGY]  double  factor  =  -Math.sqrt(wm.getHeight());  [CE]  cannot  find  symbol  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  [BUGGY]  double  factor  =  -Math.sqrt(wm.getHeight());  [BUGGY]  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	77	77	1	replace	double  factor  =  -Math.sqrt(wm.getHeight());	double  factor  =  -Math.sqrt(wm.getWeight());  	non-compiled	[CE]  cannot  find  symbol	9	None	replace
52	[BUG]  [BUGGY]  double  factor  =  -Math.sqrt(wm.getWidth());  [CE]  cannot  find  symbol  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  [BUGGY]  double  factor  =  -Math.sqrt(wm.getWidth());  [BUGGY]  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	77	77	1	replace	double  factor  =  -Math.sqrt(wm.getWidth());	double  factor  =  -Math.sqrt(wm.getWeight());  	non-compiled	[CE]  cannot  find  symbol	9	None	replace
53	[BUG]  [BUGGY]  double  factor  =  -Math.sqrt(wm.toString());  [CE]  method  sqrt  in  class  Math  cannot  be  applied  to  given  types;  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  [BUGGY]  double  factor  =  -Math.sqrt(wm.toString());  [BUGGY]  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	77	77	1	replace	double  factor  =  -Math.sqrt(wm.toString());	double  factor  =  -Math.sqrt(wm.getWeight());  	non-compiled	[CE]  method  sqrt  in  class  Math  cannot  be  applied  to  given  types;	9	None	replace
54	[BUG]  [BUGGY]  double  factor  =  -Math.sqrt(wm.getWidth()  +  1);  [CE]  cannot  find  symbol  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  [BUGGY]  double  factor  =  -Math.sqrt(wm.getWidth()  +  1);  [BUGGY]  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	77	77	1	replace	double  factor  =  -Math.sqrt(wm.getWidth()  +  1);	double  factor  =  -Math.sqrt(wm.getWeight());  	non-compiled	[CE]  cannot  find  symbol	9	None	replace
55	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  factor  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  [BUGGY]    [BUGGY]  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	77	77	1	replace	  	double  factor  =  -Math.sqrt(wm.getWeight());  	non-compiled	[CE]  cannot  find  symbol  factor	9	None	replace
