bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]  if(!group.isRequired())  {  [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	add	if(!group.isRequired())  {	if  (group.isRequired())  {  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	10	1
282	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    requiredOpts.add(option);  addOption(option);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	add	    requiredOpts.add(option);  addOption(option);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	21	1
283	[BUG]  [BUGGY]    requiredOpts.add(option);  addOption(option);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    requiredOpts.add(option);  addOption(option);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	    requiredOpts.add(option);  addOption(option);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	21	1	add
284	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    option.setRequired(false);  addOption(option);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	add	    option.setRequired(false);  addOption(option);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	21	1
285	[BUG]  [BUGGY]    option.setRequired(false);  addOption(option);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    option.setRequired(false);  addOption(option);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	    option.setRequired(false);  addOption(option);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	21	1	add
302	[BUG]  [BUGGY]  if(group.isRequired()  ||  group.isShortOpt())  {  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]  if(group.isRequired()  ||  group.isShortOpt())  {  [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	if(group.isRequired()  ||  group.isShortOpt())  {	if  (group.isRequired())  {  	non-compiled	[CE]  cannot  find  symbol	10	None	replace
304	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]  if(group.isRequired()  ||  group.isRequired())  {  [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	add	if(group.isRequired()  ||  group.isRequired())  {	if  (group.isRequired())  {  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	10	1
305	[BUG]  [BUGGY]  if(group.isRequired()  ||  group.isRequired())  {  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]  if(group.isRequired()  ||  group.isRequired())  {  [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	if(group.isRequired()  ||  group.isRequired())  {	if  (group.isRequired())  {  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	10	1	replace
322	[BUG]  [BUGGY]    private  final  Map  <  String,  Option>  longOpts  =  new  LinkedHashMap  <  String,  Option>();  LongOpts.putAll(longOpts.values());  [CE]  <identifier>  expected  [CONTEXT]    [BUGGY]    private  final  Map  <  String,  Option>  longOpts  =  new  LinkedHashMap  <  String,  Option>();  LongOpts.putAll(longOpts.values());  [BUGGY]  private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	    private  final  Map  <  String,  Option>  longOpts  =  new  LinkedHashMap  <  String,  Option>();  LongOpts.putAll(longOpts.values());		non-compiled	[CE]  <identifier>  expected	5	None	add
323	[BUG]  [BUGGY]    private  final  Map  <  String,  Option>  longOpts  =  new  LinkedHashMap  <  String,  Option>();  LongOpts.putAll(longOpts);  [CE]  <identifier>  expected  [CONTEXT]    [BUGGY]    private  final  Map  <  String,  Option>  longOpts  =  new  LinkedHashMap  <  String,  Option>();  LongOpts.putAll(longOpts);  [BUGGY]  private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	    private  final  Map  <  String,  Option>  longOpts  =  new  LinkedHashMap  <  String,  Option>();  LongOpts.putAll(longOpts);		non-compiled	[CE]  <identifier>  expected	5	None	add
324	[BUG]  [BUGGY]    private  final  Map  <  String,  Option>  longOpts  =  new  LinkedHashMap  <  String,  Option>();  LongOpts.putAll(longOpts.keySet());  [CE]  <identifier>  expected  [CONTEXT]    [BUGGY]    private  final  Map  <  String,  Option>  longOpts  =  new  LinkedHashMap  <  String,  Option>();  LongOpts.putAll(longOpts.keySet());  [BUGGY]  private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	    private  final  Map  <  String,  Option>  longOpts  =  new  LinkedHashMap  <  String,  Option>();  LongOpts.putAll(longOpts.keySet());		non-compiled	[CE]  <identifier>  expected	5	None	add
325	[BUG]  [BUGGY]    longOpts  =  LongOpt.valueOf(longOpts.size());  [CE]  <identifier>  expected  [CONTEXT]    [BUGGY]    longOpts  =  LongOpt.valueOf(longOpts.size());  [BUGGY]  private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	    longOpts  =  LongOpt.valueOf(longOpts.size());		non-compiled	[CE]  <identifier>  expected	5	None	add
361	[BUG]  [BUGGY]    optionGroups.put(group.getKey(),  group);  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]    optionGroups.put(group.getKey(),  group);  [BUGGY]  if  (group.isRequired())  {  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	    optionGroups.put(group.getKey(),  group);		non-compiled	[CE]  cannot  find  symbol	11	None	add
362	[BUG]  [BUGGY]    this.optionGroups.put(group.getKey(),  group);  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]    this.optionGroups.put(group.getKey(),  group);  [BUGGY]  if  (group.isRequired())  {  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	    this.optionGroups.put(group.getKey(),  group);		non-compiled	[CE]  cannot  find  symbol	11	None	add
364	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]    if(group.isRequired())  {  requiredOpts.remove(group);  }  [BUGGY]  if  (group.isRequired())  {  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	add	    if(group.isRequired())  {  requiredOpts.remove(group);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	11	1
365	[BUG]  [BUGGY]    if(group.isRequired())  {  requiredOpts.remove(group);  }  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]    if(group.isRequired())  {  requiredOpts.remove(group);  }  [BUGGY]  if  (group.isRequired())  {  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	    if(group.isRequired())  {  requiredOpts.remove(group);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	11	1	add
365	[BUG]  [BUGGY]    if(group.isRequired())  {  requiredOpts.put(group.getKey(),  group);  }  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]    if(group.isRequired())  {  requiredOpts.put(group.getKey(),  group);  }  [BUGGY]  if  (group.isRequired())  {  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	    if(group.isRequired())  {  requiredOpts.put(group.getKey(),  group);  }		non-compiled	[CE]  cannot  find  symbol	11	None	add
384	[BUG]  [BUGGY]    private  final  Map  <  String,  Option>  shortOpts  =  new  LinkedHashMap  <  String,  Option>(shortOpts.values());  [CE]  variable  shortOpts  is  already  defined  in  class  Options  [CONTEXT]    [BUGGY]    private  final  Map  <  String,  Option>  shortOpts  =  new  LinkedHashMap  <  String,  Option>(shortOpts.values());  [BUGGY]  private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	replace	    private  final  Map  <  String,  Option>  shortOpts  =  new  LinkedHashMap  <  String,  Option>(shortOpts.values());		non-compiled	[CE]  variable  shortOpts  is  already  defined  in  class  Options	3	None	add
385	[BUG]  [BUGGY]    private  final  Map  <  String,  Option>  shortOpts  =  new  LinkedHashMap  <  String,  Option>(shortOpts.size());  [CE]  variable  shortOpts  is  already  defined  in  class  Options  [CONTEXT]    [BUGGY]    private  final  Map  <  String,  Option>  shortOpts  =  new  LinkedHashMap  <  String,  Option>(shortOpts.size());  [BUGGY]  private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	replace	    private  final  Map  <  String,  Option>  shortOpts  =  new  LinkedHashMap  <  String,  Option>(shortOpts.size());		non-compiled	[CE]  variable  shortOpts  is  already  defined  in  class  Options	3	None	add
2	[BUG]  [BUGGY]    return  Maps.  <  String,  Option>shortOpts  =  new  LinkedHashMap  <  String,  Option>();  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  Maps.  <  String,  Option>shortOpts  =  new  LinkedHashMap  <  String,  Option>();  [BUGGY]  private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	replace	    return  Maps.  <  String,  Option>shortOpts  =  new  LinkedHashMap  <  String,  Option>();		non-compiled	[CE]  illegal  start  of  type	3	None	add
4	[BUG]  [BUGGY]    private  final  Map  <  String,  Option>  shortOpts  =  new  LinkedHashMap  <  String,  Option>(shortOpts);  [CE]  variable  shortOpts  is  already  defined  in  class  Options  [CONTEXT]    [BUGGY]    private  final  Map  <  String,  Option>  shortOpts  =  new  LinkedHashMap  <  String,  Option>(shortOpts);  [BUGGY]  private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	replace	    private  final  Map  <  String,  Option>  shortOpts  =  new  LinkedHashMap  <  String,  Option>(shortOpts);		non-compiled	[CE]  variable  shortOpts  is  already  defined  in  class  Options	3	None	add
5	[BUG]  [BUGGY]    return  Maps.  <  String,  Option>shortOpts.values();  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  Maps.  <  String,  Option>shortOpts.values();  [BUGGY]  private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	replace	    return  Maps.  <  String,  Option>shortOpts.values();		non-compiled	[CE]  illegal  start  of  type	3	None	add
63	[BUG]  [BUGGY]  optionGroups.put(option.getKey(),  new  OptionGroup(group));  [CE]  constructor  OptionGroup  in  class  OptionGroup  cannot  be  applied  to  given  types;  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]  optionGroups.put(option.getKey(),  new  OptionGroup(group));  [BUGGY]  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	optionGroups.put(option.getKey(),  new  OptionGroup(group));	optionGroups.put(option.getKey(),  group);  	non-compiled	[CE]  constructor  OptionGroup  in  class  OptionGroup  cannot  be  applied  to  given  types;	20	None	replace
64	[BUG]  [BUGGY]  optionGroups.put(option.getKey(),  new  OptionGroup(this,  group));  [CE]  constructor  OptionGroup  in  class  OptionGroup  cannot  be  applied  to  given  types;  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]  optionGroups.put(option.getKey(),  new  OptionGroup(this,  group));  [BUGGY]  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	optionGroups.put(option.getKey(),  new  OptionGroup(this,  group));	optionGroups.put(option.getKey(),  group);  	non-compiled	[CE]  constructor  OptionGroup  in  class  OptionGroup  cannot  be  applied  to  given  types;	20	None	replace
123	[BUG]  [BUGGY]    public.setOptionGroups(optionGroups);  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    public.setOptionGroups(optionGroups);  [BUGGY]  private  final  Map<String,  OptionGroup>  optionGroups  =  new  HashMap<String,  OptionGroup>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	61	61	1	replace	    public.setOptionGroups(optionGroups);		non-compiled	[CE]  illegal  start  of  type	9	None	add
124	[BUG]  [BUGGY]    return  Maps.  <  String,  OptionGroup>newHashMap();  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  Maps.  <  String,  OptionGroup>newHashMap();  [BUGGY]  private  final  Map<String,  OptionGroup>  optionGroups  =  new  HashMap<String,  OptionGroup>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	61	61	1	replace	    return  Maps.  <  String,  OptionGroup>newHashMap();		non-compiled	[CE]  illegal  start  of  type	9	None	add
125	[BUG]  [BUGGY]    return  new  HashMap  <  String,  OptionGroup>(optionGroups.values());  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  new  HashMap  <  String,  OptionGroup>(optionGroups.values());  [BUGGY]  private  final  Map<String,  OptionGroup>  optionGroups  =  new  HashMap<String,  OptionGroup>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	61	61	1	replace	    return  new  HashMap  <  String,  OptionGroup>(optionGroups.values());		non-compiled	[CE]  illegal  start  of  type	9	None	add
183	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]  if(group.isRequired()  &&  group.isRequired())  {  [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	add	if(group.isRequired()  &&  group.isRequired())  {	if  (group.isRequired())  {  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	10	1
184	[BUG]  [BUGGY]  if(group.isRequired()  &&  group.isRequired())  {  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]  if(group.isRequired()  &&  group.isRequired())  {  [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	if(group.isRequired()  &&  group.isRequired())  {	if  (group.isRequired())  {  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	10	1	replace
184	[BUG]  [BUGGY]  if(group.isRequired()  ||  group.isPrevious())  {  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]  if(group.isRequired()  ||  group.isPrevious())  {  [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	if(group.isRequired()  ||  group.isPrevious())  {	if  (group.isRequired())  {  	non-compiled	[CE]  cannot  find  symbol	10	None	replace
213	[BUG]  [BUGGY]    this.optionGroups.add(group);  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]    this.optionGroups.add(group);  [BUGGY]  if  (group.isRequired())  {  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	    this.optionGroups.add(group);		non-compiled	[CE]  cannot  find  symbol	11	None	add
214	[BUG]  [BUGGY]    this.optionGroups.put(group,  new  Option(group));  [CE]  no  suitable  constructor  found  for  Option(OptionGroup)  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]    this.optionGroups.put(group,  new  Option(group));  [BUGGY]  if  (group.isRequired())  {  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	    this.optionGroups.put(group,  new  Option(group));		non-compiled	[CE]  no  suitable  constructor  found  for  Option(OptionGroup)	11	None	add
215	[BUG]  [BUGGY]    this.optionGroups.put(group,  new  OptionGroup(group));  [CE]  constructor  OptionGroup  in  class  OptionGroup  cannot  be  applied  to  given  types;  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]    this.optionGroups.put(group,  new  OptionGroup(group));  [BUGGY]  if  (group.isRequired())  {  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	    this.optionGroups.put(group,  new  OptionGroup(group));		non-compiled	[CE]  constructor  OptionGroup  in  class  OptionGroup  cannot  be  applied  to  given  types;	11	None	add
243	[BUG]  [BUGGY]    optionGroups.put(group.getKey(),  group);  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]    optionGroups.put(group.getKey(),  group);  [BUGGY]  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	replace	    optionGroups.put(group.getKey(),  group);		non-compiled	[CE]  cannot  find  symbol	13	None	add
244	[BUG]  [BUGGY]    optionGroups.put(group.getOptions(),  group);  [CE]  method  put  in  interface  Map<K,V>  cannot  be  applied  to  given  types;  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]    optionGroups.put(group.getOptions(),  group);  [BUGGY]  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	replace	    optionGroups.put(group.getOptions(),  group);		non-compiled	[CE]  method  put  in  interface  Map<K,V>  cannot  be  applied  to  given  types;	13	None	add
303	[BUG]  [BUGGY]  requiredOpts.addOption(group);  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]  requiredOpts.addOption(group);  [BUGGY]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	replace	requiredOpts.addOption(group);	requiredOpts.add(group);  	non-compiled	[CE]  cannot  find  symbol	12	None	replace
