bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  [BUGGY]  if(index  >=  0)  {  [BUGGY]  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	334	334	4	add	if(index  >=  0)  {	if  (index  <  0)  {  	compilable	  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey	11	4
52	[BUG]  [BUGGY]  indexMap.remove(index);  this.values.remove(index);  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  [BUGGY]  indexMap.remove(index);  this.values.remove(index);  [BUGGY]    [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	321	321	4	replace	indexMap.remove(index);  this.values.remove(index);	}  	non-compiled	[CE]  illegal  start  of  expression	7	None	replace
53	[BUG]  [BUGGY]  this.values.remove(index);  fireMapChanged();  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  [BUGGY]  this.values.remove(index);  fireMapChanged();  [BUGGY]    [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	321	321	4	replace	this.values.remove(index);  fireMapChanged();	}  	non-compiled	[CE]  illegal  start  of  expression	7	None	replace
54	[BUG]  [BUGGY]  fireMapChanged();  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  [BUGGY]  fireMapChanged();  [BUGGY]    [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	321	321	4	replace	fireMapChanged();	}  	non-compiled	[CE]  illegal  start  of  expression	7	None	replace
55	[BUG]  [BUGGY]    [CE]  illegal  start  of  expression  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  [BUGGY]    [BUGGY]    [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	321	321	4	replace	  	}  	non-compiled	[CE]  illegal  start  of  expression	7	None	replace
61	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  [BUGGY]    indexMap.remove(key);  values.remove(index);  [BUGGY]  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	338	338	4	add	    indexMap.remove(key);  values.remove(index);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	16	4
62	[BUG]  [BUGGY]    indexMap.remove(key);  values.remove(index);  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  [BUGGY]    indexMap.remove(key);  values.remove(index);  [BUGGY]  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	338	338	4	replace	    indexMap.remove(key);  values.remove(index);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	16	4	add
62	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  [BUGGY]    keys.remove(key);  values.remove(index);  [BUGGY]  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	338	338	4	add	    keys.remove(key);  values.remove(index);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	16	4
63	[BUG]  [BUGGY]    keys.remove(key);  values.remove(index);  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  [BUGGY]    keys.remove(key);  values.remove(index);  [BUGGY]  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	338	338	4	replace	    keys.remove(key);  values.remove(index);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	16	4	add
63	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  [BUGGY]    indexMap.remove(key);  keys.remove(index);  [BUGGY]  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	338	338	4	add	    indexMap.remove(key);  keys.remove(index);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	16	4
64	[BUG]  [BUGGY]    indexMap.remove(key);  keys.remove(index);  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  [BUGGY]    indexMap.remove(key);  keys.remove(index);  [BUGGY]  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	338	338	4	replace	    indexMap.remove(key);  keys.remove(index);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	16	4	add
64	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  [BUGGY]    indexMap.remove(key);  [BUGGY]  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	338	338	4	add	    indexMap.remove(key);		compilable	  [FE]  AssertionFailedError  testRemoveColumnByKey	16	2
65	[BUG]  [BUGGY]    indexMap.remove(key);  [FE]  AssertionFailedError  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  [BUGGY]    indexMap.remove(key);  [BUGGY]  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	338	338	4	replace	    indexMap.remove(key);		compilable	  [FE]  AssertionFailedError  testRemoveColumnByKey	16	2	add
65	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  [BUGGY]    this.values.remove(key);  values.remove(index);  [BUGGY]  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	338	338	4	add	    this.values.remove(key);  values.remove(index);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	16	4
66	[BUG]  [BUGGY]    this.values.remove(key);  values.remove(index);  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  [BUGGY]    this.values.remove(key);  values.remove(index);  [BUGGY]  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	338	338	4	replace	    this.values.remove(key);  values.remove(index);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	16	4	add
82	[BUG]  [BUGGY]  this.columnKeys.remove(columnKey,  rowData.getColumnKey(columnKey));  [CE]  cannot  find  symbol  rowData  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  [BUGGY]  this.columnKeys.remove(columnKey,  rowData.getColumnKey(columnKey));  [BUGGY]  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	460	460	4	replace	this.columnKeys.remove(columnKey,  rowData.getColumnKey(columnKey));	this.columnKeys.remove(columnKey);  	non-compiled	[CE]  cannot  find  symbol  rowData	29	None	replace
83	[BUG]  [BUGGY]  this.columnKeys.remove(columnKey,  rowData);  [CE]  cannot  find  symbol  rowData  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  [BUGGY]  this.columnKeys.remove(columnKey,  rowData);  [BUGGY]  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	460	460	4	replace	this.columnKeys.remove(columnKey,  rowData);	this.columnKeys.remove(columnKey);  	non-compiled	[CE]  cannot  find  symbol  rowData	29	None	replace
84	[BUG]  [BUGGY]  this.columnKeys.remove(columnKey,  rowData.getValue());  [CE]  cannot  find  symbol  rowData  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  [BUGGY]  this.columnKeys.remove(columnKey,  rowData.getValue());  [BUGGY]  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	460	460	4	replace	this.columnKeys.remove(columnKey,  rowData.getValue());	this.columnKeys.remove(columnKey);  	non-compiled	[CE]  cannot  find  symbol  rowData	29	None	replace
85	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  [BUGGY]    [BUGGY]  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	460	460	4	add	  	this.columnKeys.remove(columnKey);  	compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	29	4
86	[BUG]  [BUGGY]    [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  [BUGGY]    [BUGGY]  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	460	460	4	replace	  	this.columnKeys.remove(columnKey);  	compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	29	4	replace
93	[BUG]  [BUGGY]  if(key  ==  null  ||  isEnabled(Feature.QUOTE_FIELD_NAMES))  {  [CE]  cannot  find  symbol  Feature  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  [BUGGY]  if(key  ==  null  ||  isEnabled(Feature.QUOTE_FIELD_NAMES))  {  [BUGGY]  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	229	229	4	replace	if(key  ==  null  ||  isEnabled(Feature.QUOTE_FIELD_NAMES))  {	if  (key  ==  null)  {  	non-compiled	[CE]  cannot  find  symbol  Feature	47	None	replace
94	[BUG]  [BUGGY]  if(key  ==  null  ||  key.charAt(key.length()  -  1)!=  '0')  {  [CE]  cannot  find  symbol  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  [BUGGY]  if(key  ==  null  ||  key.charAt(key.length()  -  1)!=  '0')  {  [BUGGY]  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	229	229	4	replace	if(key  ==  null  ||  key.charAt(key.length()  -  1)!=  '0')  {	if  (key  ==  null)  {  	non-compiled	[CE]  cannot  find  symbol	47	None	replace
95	[BUG]  [BUGGY]    [CE]  illegal  start  of  type  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  [BUGGY]    [BUGGY]  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	229	229	4	replace	  	if  (key  ==  null)  {  	non-compiled	[CE]  illegal  start  of  type	47	None	replace
101	[BUG]  [BUGGY]    this.indexMap.remove(index);  [CE]  no  suitable  method  found  for  remove(int)  [CONTEXT]  public  void  removeValue(int  index)  {  [BUGGY]    this.indexMap.remove(index);  [BUGGY]  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	316	316	4	replace	    this.indexMap.remove(index);		non-compiled	[CE]  no  suitable  method  found  for  remove(int)	2	None	add
102	[BUG]  [BUGGY]    super.removeValue(index);  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeValue(int  index)  {  [BUGGY]    super.removeValue(index);  [BUGGY]  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	316	316	4	replace	    super.removeValue(index);		non-compiled	[CE]  cannot  find  symbol	2	None	add
