bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action2	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  verifyInterval(min,max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	add	verifyInterval(min,max);	clearResult();  	compilable	  [FE]  NullPointerException  testMath369	5	1
274	[BUG]  [BUGGY]    int  i  =  minimalIterationCount;  [CE]  variable  i  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    int  i  =  minimalIterationCount;  [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	replace	    int  i  =  minimalIterationCount;		non-compiled	[CE]  variable  i  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	12	None	add
275	[BUG]  [BUGGY]    i  =  UnivariateRealSolverUtils.midpoint(min,  max);  min  =  f.value(min);  [CE]  possible  loss  of  precision  [CONTEXT]    [BUGGY]    i  =  UnivariateRealSolverUtils.midpoint(min,  max);  min  =  f.value(min);  [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	replace	    i  =  UnivariateRealSolverUtils.midpoint(min,  max);  min  =  f.value(min);		non-compiled	[CE]  possible  loss  of  precision	12	None	add
301	[BUG]  [BUGGY]    int  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  max  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    int  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  max  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	replace	    int  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  max  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	10	None	add
302	[BUG]  [BUGGY]    int  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  max  =  0.0;  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    int  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  max  =  0.0;  [BUGGY]  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	replace	    int  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  max  =  0.0;		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	10	None	add
304	[BUG]  [BUGGY]    f  =  UnivariateRealSolverUtils.midpoint(min,  max);  min  =  f.value(min);  [CE]  incompatible  types  [CONTEXT]    [BUGGY]    f  =  UnivariateRealSolverUtils.midpoint(min,  max);  min  =  f.value(min);  [BUGGY]  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	replace	    f  =  UnivariateRealSolverUtils.midpoint(min,  max);  min  =  f.value(min);		non-compiled	[CE]  incompatible  types	10	None	add
305	[BUG]  [BUGGY]    int  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  max  =  Math.max(max;  [CE]  ')'  expected  [CONTEXT]    [BUGGY]    int  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  max  =  Math.max(max;  [BUGGY]  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	replace	    int  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  max  =  Math.max(max;		non-compiled	[CE]  ')'  expected	10	None	add
333	[BUG]  [BUGGY]  setResult(0,  i);  [CE]  cannot  find  symbol  i  [CONTEXT]    [BUGGY]  setResult(0,  i);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	replace	setResult(0,  i);	clearResult();  	non-compiled	[CE]  cannot  find  symbol  i	5	None	replace
334	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  setResult(0,  0);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	add	setResult(0,  0);	clearResult();  	compilable	  [FE]  NullPointerException  testMath369	5	1
335	[BUG]  [BUGGY]  setResult(0,  0);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  setResult(0,  0);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	replace	setResult(0,  0);	clearResult();  	compilable	  [FE]  NullPointerException  testMath369	5	1	replace
362	[BUG]  [BUGGY]    Preconditions.checkNotNull(Math.abs(0,  100));  [CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(Math.abs(0,  100));  [BUGGY]  super(100,  1E-6);  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	replace	    Preconditions.checkNotNull(Math.abs(0,  100));		non-compiled	[CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()	18	None	add
363	[BUG]  [BUGGY]    Preconditions.checkNotNull(Math.abs(1E-6));  [CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(Math.abs(1E-6));  [BUGGY]  super(100,  1E-6);  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	replace	    Preconditions.checkNotNull(Math.abs(1E-6));		non-compiled	[CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()	18	None	add
365	[BUG]  [BUGGY]    Preconditions.checkNotNull(Math.abs(this));  [CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(Math.abs(this));  [BUGGY]  super(100,  1E-6);  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	replace	    Preconditions.checkNotNull(Math.abs(this));		non-compiled	[CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()	18	None	add
393	[BUG]  [BUGGY]  return  solve(min,  double,  min,  max);  [CE]  '.class'  expected  [CONTEXT]    [BUGGY]  return  solve(min,  double,  min,  max);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.7071067811865475	66	66	1	replace	return  solve(min,  double,  min,  max);	return  solve(f,  min,  max);  	non-compiled	[CE]  '.class'  expected	3	None	replace
394	[BUG]  [BUGGY]  return  solve(min,  double,  max);  [CE]  '.class'  expected  [CONTEXT]    [BUGGY]  return  solve(min,  double,  max);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.7071067811865475	66	66	1	replace	return  solve(min,  double,  max);	return  solve(f,  min,  max);  	non-compiled	[CE]  '.class'  expected	3	None	replace
424	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  return  solve(min,  max,  initial);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	add	return  solve(min,  max,  initial);	return  solve(min,  max);  	compilable	  [FE]  NullPointerException  testMath369	1	1
425	[BUG]  [BUGGY]  return  solve(min,  max,  initial);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  return  solve(min,  max,  initial);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	return  solve(min,  max,  initial);	return  solve(min,  max);  	compilable	  [FE]  NullPointerException  testMath369	1	1	replace
452	[BUG]  [BUGGY]  Preconditions.checkArgument(isEnabled(Feature.AUTO_CLOSE_SOURCE));  [CE]  ';'  expected  [CONTEXT]    [BUGGY]  Preconditions.checkArgument(isEnabled(Feature.AUTO_CLOSE_SOURCE));  [BUGGY]    [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	53	53	1	replace	Preconditions.checkArgument(isEnabled(Feature.AUTO_CLOSE_SOURCE));	}  	non-compiled	[CE]  ';'  expected	19	None	replace
453	[BUG]  [BUGGY]  Preconditions.checkArgument(isEnabled(Feature.AUTO_CLOSE_TARGET));  [CE]  ';'  expected  [CONTEXT]    [BUGGY]  Preconditions.checkArgument(isEnabled(Feature.AUTO_CLOSE_TARGET));  [BUGGY]    [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	53	53	1	replace	Preconditions.checkArgument(isEnabled(Feature.AUTO_CLOSE_TARGET));	}  	non-compiled	[CE]  ';'  expected	19	None	replace
454	[BUG]  [BUGGY]  Preconditions.checkArgument( "Bisection  =  new  LinkedHashMap  <  String,Object>());  [CE]  unclosed  string  literal  [CONTEXT]    [BUGGY]  Preconditions.checkArgument( "Bisection  =  new  LinkedHashMap  <  String,Object>());  [BUGGY]    [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	53	53	1	replace	Preconditions.checkArgument( "Bisection  =  new  LinkedHashMap  <  String,Object>());	}  	non-compiled	[CE]  unclosed  string  literal	19	None	replace
481	[BUG]  [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,max);  m  =  UnivariateRealSolverUtils.midpoint(min,max);  [CE]  cannot  find  symbol  m  [CONTEXT]    [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,max);  m  =  UnivariateRealSolverUtils.midpoint(min,max);  [BUGGY]  clearResult();  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	replace	    min  =  UnivariateRealSolverUtils.midpoint(min,max);  m  =  UnivariateRealSolverUtils.midpoint(min,max);		non-compiled	[CE]  cannot  find  symbol  m	6	None	add
484	[BUG]  [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,max);  max  =  Math.max(maximumIterationCount);  [CE]  cannot  find  symbol  maximumIterationCount  [CONTEXT]    [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,max);  max  =  Math.max(maximumIterationCount);  [BUGGY]  clearResult();  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	replace	    min  =  UnivariateRealSolverUtils.midpoint(min,max);  max  =  Math.max(maximumIterationCount);		non-compiled	[CE]  cannot  find  symbol  maximumIterationCount	6	None	add
485	[BUG]  [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,max);  max  =  Math.max(max;  [CE]  ')'  expected  [CONTEXT]    [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,max);  max  =  Math.max(max;  [BUGGY]  clearResult();  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	replace	    min  =  UnivariateRealSolverUtils.midpoint(min,max);  max  =  Math.max(max;		non-compiled	[CE]  ')'  expected	6	None	add
542	[BUG]  [BUGGY]  if(fmin  <  0.0)  {  fmin  =  f.value(min);  }  else  {  fmax  =  f.value(max);  }  [CE]  cannot  find  symbol  fmax  [CONTEXT]    [BUGGY]  if(fmin  <  0.0)  {  fmin  =  f.value(min);  }  else  {  fmax  =  f.value(max);  }  [BUGGY]  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	if(fmin  <  0.0)  {  fmin  =  f.value(min);  }  else  {  fmax  =  f.value(max);  }	fmin  =  f.value(min);  	non-compiled	[CE]  cannot  find  symbol  fmax	15	None	replace
543	[BUG]  [BUGGY]  if(fmin  <  0.0)  {  fmin  =  f.value(min);  }  else  {  fmin  =  f.value(max);  }  [CE]  variable  fmin  might  not  have  been  initialized  [CONTEXT]    [BUGGY]  if(fmin  <  0.0)  {  fmin  =  f.value(min);  }  else  {  fmin  =  f.value(max);  }  [BUGGY]  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	if(fmin  <  0.0)  {  fmin  =  f.value(min);  }  else  {  fmin  =  f.value(max);  }	fmin  =  f.value(min);  	non-compiled	[CE]  variable  fmin  might  not  have  been  initialized	15	None	replace
544	[BUG]  [BUGGY]  if(fmin  <  0.0)  {  fmin  =  f.value(min);  }  else  {  throw  new  IllegalArgumentException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  min  + ", "  +  max  + "] "  + "  Endpoints:  [ "  +  Math.max  [CE]  [CONTEXT]    [BUGGY]  if(fmin  <  0.0)  {  fmin  =  f.value(min);  }  else  {  throw  new  IllegalArgumentException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  min  + ", "  +  max  + "] "  + "  Endpoints:  [ "  +  Math.max  [BUGGY]  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	if(fmin  <  0.0)  {  fmin  =  f.value(min);  }  else  {  throw  new  IllegalArgumentException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  min  + ", "  +  max  + "] "  + "  Endpoints:  [ "  +  Math.max	fmin  =  f.value(min);  	non-compiled	[CE]  	15	None	replace
575	[BUG]  [BUGGY]    Preconditions.checkArgument(!SuperClassUtil.isAssignmentOp());  [CE]  cannot  find  symbol  SuperClassUtil  [CONTEXT]    [BUGGY]    Preconditions.checkArgument(!SuperClassUtil.isAssignmentOp());  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	53	53	1	replace	    Preconditions.checkArgument(!SuperClassUtil.isAssignmentOp());		non-compiled	[CE]  cannot  find  symbol  SuperClassUtil	20	None	add
